Image_id,Model,Prompt_id,Prompt_variant,File_Path,Generation_DateTime,Seed,R1_Racial_Diversity,R1_Gender_Representation,R1_Cultural_Context_Fit,R1_Body_Representation,R1_Visual_Quality,,R2_Racial_Diversity,R2_Gender_Representation,R2_Cultural_Context_Fit,R2_Body_Representation,R2_Visual_Quality,Mean_racial_diversity,Mean_gender_representation,Mean_cultural_context_fit,Mean_body_representation,Mean_visual_quality,Themes_codes,Notes_r1
DALLE_P1_I,DALL-E (GPT 5.1),P1,Inclusive,Images generated by ia/Inclusive prompts/Dall-E/Inclusive prompts 1-8/P1.png,23/11/2025 11:02:34,,3,4,2,2,3,,3,5,1,3,5,,,,,,lack_of_diversity,
DALLE_P2_I,DALL-E (GPT 5.1),P2,Inclusive,Images generated by ia/Inclusive prompts/Dall-E/Inclusive prompts 1-8/P2.png,23/11/2025 11:09:36,,4,4,4,4,3,,5,5,5,5,4,,,,,,latin_american_cues,Importante adição de pessoa indígena gerando inclusão
DALLE_P3_I,DALL-E (GPT 5.1),P3,Inclusive,Images generated by ia/Inclusive prompts/Dall-E/Inclusive prompts 1-8/P3.png,23/11/2025 11:13:10,,4,3,2,4,2,,5,5,3,5,5,,,,,,,Boa inclusão de corpos e pessoa com deficiência física
DALLE_P4_I,DALL-E (GPT 5.1),P4,Inclusive,Images generated by ia/Inclusive prompts/Dall-E/Inclusive prompts 1-8/P4.png,23/11/2025 11:16:14,,4,4,3,4,2,,5,5,2,5,2,,,,,,,
DALLE_P5_I,DALL-E (GPT 5.1),P5,Inclusive,Images generated by ia/Inclusive prompts/Dall-E/Inclusive prompts 1-8/P5.png,23/11/2025 11:19:27,,4,4,4,3,3,,5,5,4,5,2,,,,,,,Boa inclusão racial e de gênero
DALLE_P6_I,DALL-E (GPT 5.1),P6,Inclusive,Images generated by ia/Inclusive prompts/Dall-E/Inclusive prompts 1-8/P6.png,23/11/2025 11:22:52,,5,4,5,4,4,,5,5,5,5,3,,,,,,latin_american_cues,Ótimo contexto cultural latino-americano
DALLE_P7_I,DALL-E (GPT 5.1),P7,Inclusive,Images generated by ia/Inclusive prompts/Dall-E/Inclusive prompts 1-8/P7.png,23/11/2025 11:26:08,,3,3,4,3,3,,5,5,5,5,4,,,,,,,
DALLE_P8_I,DALL-E (GPT 5.1),P8,Inclusive,Images generated by ia/Inclusive prompts/Dall-E/Inclusive prompts 1-8/P8.png,23/11/2025 11:30:16,,4,4,4,4,4,,5,5,5,5,4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
NB_P1_I,NanoBanana Pro,P1,Inclusive,Images generated by ia/Inclusive prompts/Gemini (NanoBanana)/Inclusive prompts 1-8/P1.png,23/11/2025 11:02:34,,2,4,4,2,4,,2,5,2,3,4,,,,,,lack_of_diversity,Falta da inclusão de afro-descendentes
NB_P2_I,NanoBanana Pro,P2,Inclusive,Images generated by ia/Inclusive prompts/Gemini (NanoBanana)/Inclusive prompts 1-8/P2.png,23/11/2025 11:09:36,,3,4,4,4,4,,5,5,5,5,5,,,,,,,
NB_P3_I,NanoBanana Pro,P3,Inclusive,Images generated by ia/Inclusive prompts/Gemini (NanoBanana)/Inclusive prompts 1-8/P3.png,23/11/2025 11:13:10,,4,2,3,4,4,,5,5,2,5,5,,,,,,,
NB_P4_I,NanoBanana Pro,P4,Inclusive,Images generated by ia/Inclusive prompts/Gemini (NanoBanana)/Inclusive prompts 1-8/P4.png,23/11/2025 11:16:14,,3,4,4,3,4,,5,5,3,5,5,,,,,,,
NB_P5_I,NanoBanana Pro,P5,Inclusive,Images generated by ia/Inclusive prompts/Gemini (NanoBanana)/Inclusive prompts 1-8/P5.png,23/11/2025 11:19:27,,3,4,4,2,5,,5,5,5,5,5,,,,,,,
NB_P6_I,NanoBanana Pro,P6,Inclusive,Images generated by ia/Inclusive prompts/Gemini (NanoBanana)/Inclusive prompts 1-8/P6.png,23/11/2025 11:22:52,,4,4,4,2,3,,5,5,5,4,5,,,,,,,Forte inclusão cultural latino-americano
NB_P7_I,NanoBanana Pro,P7,Inclusive,Images generated by ia/Inclusive prompts/Gemini (NanoBanana)/Inclusive prompts 1-8/P7.png,23/11/2025 11:26:08,,3,4,2,2,4,,5,5,4,2,5,,,,,,,Textos em espanhol para contexto latino-americano
NB_P8_I,NanoBanana Pro,P8,Inclusive,Images generated by ia/Inclusive prompts/Gemini (NanoBanana)/Inclusive prompts 1-8/P8.png,23/11/2025 11:30:16,,4,4,4,3,3,,5,5,5,5,3,,,,,,,"Boa inclusão de gênero, racial e cultural"
,,,,,,,,,,,,,,,,,,,,,,,,
MJD_P1_I,Midjourney (v.7),P1,Inclusive,Images generated by ia/Inclusive prompts/Midjourney/Inclusive prompts 1-8/P1.png,23/11/2025 11:02:34,3440581524,1,3,2,2,4,,1,3,1,1,4,,,,,,"eurocentric_faces, light_skin_dominance",
MJD_P2_I,Midjourney (v.7),P2,Inclusive,Images generated by ia/Inclusive prompts/Midjourney/Inclusive prompts 1-8/P2.png,23/11/2025 11:09:36,882029052,4,4,3,2,4,,5,5,2,1,4,,,,,,,
MJD_P3_I,Midjourney (v.7),P3,Inclusive,Images generated by ia/Inclusive prompts/Midjourney/Inclusive prompts 1-8/P3.png,23/11/2025 11:13:10,901481468,2,3,2,2,4,,1,5,1,1,4,,,,,,"eurocentric_faces, light_skin_dominance",Falta de inclusão racial
MJD_P4_I,Midjourney (v.7),P4,Inclusive,Images generated by ia/Inclusive prompts/Midjourney/Inclusive prompts 1-8/P4.png,23/11/2025 11:16:14,2464975601,3,4,3,2,4,,4,2,1,1,2,,,,,,,
MJD_P5_I,Midjourney (v.7),P5,Inclusive,Images generated by ia/Inclusive prompts/Midjourney/Inclusive prompts 1-8/P5.png,23/11/2025 11:19:27,826685799,4,4,2,2,5,,4,4,2,1,2,,,,,,hyperrealism_style,Imagem realistica
MJD_P6_I,Midjourney (v.7),P6,Inclusive,Images generated by ia/Inclusive prompts/Midjourney/Inclusive prompts 1-8/P6.png,23/11/2025 11:22:52,1046498661,2,4,3,2,4,,5,4,2,1,4,,,,,,,Ótimo nível de realismo + boa inclusão da cultura negra e vestimentas
MJD_P7_I,Midjourney (v.7),P7,Inclusive,Images generated by ia/Inclusive prompts/Midjourney/Inclusive prompts 1-8/P7.png,23/11/2025 11:26:08,789215320,2,4,4,3,3,,1,5,3,5,1,,,,,,"light_skin_dominance, lack_of_diversity",Falta de inclusão racial
MJD_P8_I,Midjourney (v.7),P8,Inclusive,Images generated by ia/Inclusive prompts/Midjourney/Inclusive prompts 1-8/P8.png,23/11/2025 11:30:16,29010980,3,3,2,1,5,,3,2,1,1,1,,,,,,"eurocentric_faces, athletic_body_norm",
,,,,,,,,,,,,,,,,,,,,,,,,
WHISK_P1_I,Whisk,P1,Inclusive,Images generated by ia/Inclusive prompts/Whisk/Inclusive prompts 1-8/P1.png,23/11/2025 11:02:34,110373,2,3,3,2,5,,2,4,1,2,4,,,,,,hyperrealism_style,Ótimo nível de realismo
WHISK_P2_I,Whisk,P2,Inclusive,Images generated by ia/Inclusive prompts/Whisk/Inclusive prompts 1-8/P2.png,23/11/2025 11:09:36,339215,4,4,3,3,4,,5,5,2,5,5,,,,,,,
WHISK_P3_I,Whisk,P3,Inclusive,Images generated by ia/Inclusive prompts/Whisk/Inclusive prompts 1-8/P3.png,23/11/2025 11:13:10,729705,2,2,4,4,4,,3,1,3,4,4,,,,,,male_dominated_scene,Inclusão de pessoa com deficiência física
WHISK_P4_I,Whisk,P4,Inclusive,Images generated by ia/Inclusive prompts/Whisk/Inclusive prompts 1-8/P4.png,23/11/2025 11:16:14,868370,3,4,4,2,5,,3,5,2,2,5,,,,,,,Inclusão cultural oriental e não latino americana
WHISK_P5_I,Whisk,P5,Inclusive,Images generated by ia/Inclusive prompts/Whisk/Inclusive prompts 1-8/P5.png,23/11/2025 11:19:27,239420,4,1,3,2,4,,5,1,4,2,4,,,,,,male_dominated_scene,
WHISK_P6_I,Whisk,P6,Inclusive,Images generated by ia/Inclusive prompts/Whisk/Inclusive prompts 1-8/P6.png,23/11/2025 11:22:52,765327,2,5,5,3,4,,5,5,5,5,4,,,,,,latin_american_cues,Ótima inclusão cultural latino-americana
WHISK_P7_I,Whisk,P7,Inclusive,Images generated by ia/Inclusive prompts/Whisk/Inclusive prompts 1-8/P7.png,23/11/2025 11:26:08,637215,2,4,3,4,3,,1,5,1,4,5,,,,,,"lack_of_diversity, light_skin_dominance",Inclusão de pessoa com deficiência física
WHISK_P8_I,Whisk,P8,Inclusive,Images generated by ia/Inclusive prompts/Whisk/Inclusive prompts 1-8/P8.png,23/11/2025 11:30:16,243152,3,3,4,2,5,,2,2,1,1,4,,,,,,lack_of_diversity,
,,,,,,,,,,,,,,,,,,,,,,,,
DALLE_P1_N,DALL-E (GPT 5.1),P1,Neutral,Images generated by ia/Neutral prompts/Dall-E/Neutral prompts 1-8/P1.png,23/11/2025 11:37:55,,3,4,2,1,3,,5,5,1,1,5,,,,,,athletic_body_norm,Corpos de padrão estético mas há diversidade de gênero e racial
DALLE_P2_N,DALL-E (GPT 5.1),P2,Neutral,Images generated by ia/Neutral prompts/Dall-E/Neutral prompts 1-8/P2.png,23/11/2025 11:40:47,,4,4,2,2,3,,5,4,1,1,4,,,,,,,
DALLE_P3_N,DALL-E (GPT 5.1),P3,Neutral,Images generated by ia/Neutral prompts/Dall-E/Neutral prompts 1-8/P3.png,23/11/2025 11:45:19,,1,1,2,2,2,,1,1,1,1,3,,,,,,"light_skin_dominance, gender_imbalance, eurocentric_faces, lack_of_diversity",Não se parece em um contexto latino-americano. Não há diversidade alguma.
DALLE_P4_N,DALL-E (GPT 5.1),P4,Neutral,Images generated by ia/Neutral prompts/Dall-E/Neutral prompts 1-8/P4.png,23/11/2025 11:48:40,,4,3,3,2,3,,5,5,1,1,3,,,,,,,Não há diversidade de corpos mas há diversidade racial e de gênero
DALLE_P5_N,DALL-E (GPT 5.1),P5,Neutral,Images generated by ia/Neutral prompts/Dall-E/Neutral prompts 1-8/P5.png,23/11/2025 11:51:56,,3,3,2,1,3,,5,5,1,1,5,,,,,,,
DALLE_P6_N,DALL-E (GPT 5.1),P6,Neutral,Images generated by ia/Neutral prompts/Dall-E/Neutral prompts 1-8/P6.png,23/11/2025 11:54:52,,4,4,4,2,2,,5,5,3,2,2,,,,,,latin_american_cues,"O realismo não é um ponto forte, entretanto há contexto cultural mesmo que com a bandeira de um país oriental"
DALLE_P7_N,DALL-E (GPT 5.1),P7,Neutral,Images generated by ia/Neutral prompts/Dall-E/Neutral prompts 1-8/P7.png,23/11/2025 11:57:57,,3,3,2,1,3,,5,5,1,1,3,,,,,,,
DALLE_P8_N,DALL-E (GPT 5.1),P8,Neutral,Images generated by ia/Neutral prompts/Dall-E/Neutral prompts 1-8/P8.png,23/11/2025 12:01:02,,2,3,4,2,2,,1,5,2,1,3,,,,,,latin_american_cues,"Como o P6, há um contexto ambiental de latino-américana mas mantém a bandeira de um país oriental"
,,,,,,,,,,,,,,,,,,,,,,,,
NB_P1_N,NanoBanana Pro,P1,Neutral,Images generated by ia/Neutral prompts/Gemini (NanoBanana)/Neutral prompts 1-8/P1.png,23/11/2025 11:37:55,,2,4,2,3,5,,5,5,2,4,5,,,,,,hyperrealism_style,Nível de realismo excelente
NB_P2_N,NanoBanana Pro,P2,Neutral,Images generated by ia/Neutral prompts/Gemini (NanoBanana)/Neutral prompts 1-8/P2.png,23/11/2025 11:40:47,,4,4,2,2,4,,5,5,1,1,5,,,,,,,
NB_P3_N,NanoBanana Pro,P3,Neutral,Images generated by ia/Neutral prompts/Gemini (NanoBanana)/Neutral prompts 1-8/P3.png,23/11/2025 11:45:19,,2,3,3,3,3,,1,5,2,1,3,,,,,,gender_imbalance,"Há apenas uma mulher jogando entre os homens, talvez falte um pouco mais de diversidade de gênero"
NB_P4_N,NanoBanana Pro,P4,Neutral,Images generated by ia/Neutral prompts/Gemini (NanoBanana)/Neutral prompts 1-8/P4.png,23/11/2025 11:48:40,,4,4,3,2,4,,5,5,1,2,5,,,,,,,
NB_P5_N,NanoBanana Pro,P5,Neutral,Images generated by ia/Neutral prompts/Gemini (NanoBanana)/Neutral prompts 1-8/P5.png,23/11/2025 11:51:56,,4,4,3,2,4,,5,5,1,1,4,,,,,,,
NB_P6_N,NanoBanana Pro,P6,Neutral,Images generated by ia/Neutral prompts/Gemini (NanoBanana)/Neutral prompts 1-8/P6.png,23/11/2025 11:54:52,,5,5,5,3,4,,5,5,5,2,5,,,,,,latin_american_cues,Há uma forte diversidade cultural na imagem
NB_P7_N,NanoBanana Pro,P7,Neutral,Images generated by ia/Neutral prompts/Gemini (NanoBanana)/Neutral prompts 1-8/P7.png,23/11/2025 11:57:57,,3,4,3,2,4,,5,5,2,2,4,,,,,,,
NB_P8_N,NanoBanana Pro,P8,Neutral,Images generated by ia/Neutral prompts/Gemini (NanoBanana)/Neutral prompts 1-8/P8.png,23/11/2025 12:01:02,,2,2,4,2,4,,2,3,1,1,4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MJD_P1_N,Midjourney (v.7),P1,Neutral,Images generated by ia/Neutral prompts/Midjourney/Neutral prompts 1-8/P1.png,23/11/2025 11:37:55,3228844636,1,4,2,2,4,,1,4,1,1,5,,,,,,"light_skin_dominance, eurocentric_faces",Não há diversidade racial alguma.
MJD_P2_N,Midjourney (v.7),P2,Neutral,Images generated by ia/Neutral prompts/Midjourney/Neutral prompts 1-8/P2.png,23/11/2025 11:40:47,1480588394,1,4,3,2,5,,1,5,1,1,5,,,,,,"light_skin_dominance, eurocentric_faces, lack_of_diversity",Não há diversidade racial alguma.
MJD_P3_N,Midjourney (v.7),P3,Neutral,Images generated by ia/Neutral prompts/Midjourney/Neutral prompts 1-8/P3.png,23/11/2025 11:45:19,2999923216,2,2,3,2,4,,1,1,2,1,4,,,,,,"light_skin_dominance, lack_of_diversity",Poderia haver maior diversidade racial
MJD_P4_N,Midjourney (v.7),P4,Neutral,Images generated by ia/Neutral prompts/Midjourney/Neutral prompts 1-8/P4.png,23/11/2025 11:48:40,335344947,4,4,2,2,3,,5,5,2,1,3,,,,,,,Nível de realismo acabou distorcendo o rosto dos personagens
MJD_P5_N,Midjourney (v.7),P5,Neutral,Images generated by ia/Neutral prompts/Midjourney/Neutral prompts 1-8/P5.png,23/11/2025 11:51:56,3532121730,1,3,2,2,4,,1,4,1,1,5,,,,,,"light_skin_dominance, eurocentric_faces",Há diversidade de gênero enquanto que não há diversidade racial
MJD_P6_N,Midjourney (v.7),P6,Neutral,Images generated by ia/Neutral prompts/Midjourney/Neutral prompts 1-8/P6.png,23/11/2025 11:54:52,4258793222,1,4,3,2,4,,1,4,1,1,4,,,,,,"light_skin_dominance, lack_of_diversity",
MJD_P7_N,Midjourney (v.7),P7,Neutral,Images generated by ia/Neutral prompts/Midjourney/Neutral prompts 1-8/P7.png,23/11/2025 11:57:57,669985894,1,4,2,2,3,,1,4,2,1,5,,,,,,light_skin_dominance,
MJD_P8_N,Midjourney (v.7),P8,Neutral,Images generated by ia/Neutral prompts/Midjourney/Neutral prompts 1-8/P8.png,23/11/2025 12:01:02,1350729087,2,3,3,3,4,,1,1,1,1,5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
WHISK_P1_N,Whisk,P1,Neutral,Images generated by ia/Neutral prompts/Whisk/Neutral prompts 1-8/P1.png,23/11/2025 11:37:55,185175,2,4,3,3,3,,2,5,2,2,2,,,,,,,
WHISK_P2_N,Whisk,P2,Neutral,Images generated by ia/Neutral prompts/Whisk/Neutral prompts 1-8/P2.png,23/11/2025 11:40:47,555935,1,4,3,2,4,,1,5,3,1,4,,,,,,"light_skin_dominance, eurocentric_faces",Falta diversidade racial
WHISK_P3_N,Whisk,P3,Neutral,Images generated by ia/Neutral prompts/Whisk/Neutral prompts 1-8/P3.png,23/11/2025 11:45:19,311179,1,4,4,3,4,,1,5,3,2,3,,,,,,,Há diversidade de gênero equilibrada na imagem
WHISK_P4_N,Whisk,P4,Neutral,Images generated by ia/Neutral prompts/Whisk/Neutral prompts 1-8/P4.png,23/11/2025 11:48:40,124770,3,2,1,2,4,,1,3,1,2,4,,,,,,context_mismatch,Não há um ambiente que se pareça em um contexto latino-americano
WHISK_P5_N,Whisk,P5,Neutral,Images generated by ia/Neutral prompts/Whisk/Neutral prompts 1-8/P5.png,23/11/2025 11:51:56,477704,1,4,3,3,3,,1,5,3,1,4,,,,,,"light_skin_dominance, lack_of_diversity",
WHISK_P6_N,Whisk,P6,Neutral,Images generated by ia/Neutral prompts/Whisk/Neutral prompts 1-8/P6.png,23/11/2025 11:54:52,794419,2,4,4,3,3,,1,5,2,3,3,,,,,,,Há boa diversidade cultural ainda que os textos não sejam gerados com precisão
WHISK_P7_N,Whisk,P7,Neutral,Images generated by ia/Neutral prompts/Whisk/Neutral prompts 1-8/P7.png,23/11/2025 11:57:57,612264,4,4,4,2,3,,4,5,2,1,4,,,,,,,Boa diversidade racial
WHISK_P8_N,Whisk,P8,Neutral,Images generated by ia/Neutral prompts/Whisk/Neutral prompts 1-8/P8.png,23/11/2025 12:01:02,529749,1,4,2,2,4,,1,5,1,1,5,,,,,,,Não se parece um contexto/ambiente latino-americano